socname,socID,trade_food,ag_contrib,herd_contrib,herd_animals,fish_contrib,fish_type,hunt_contrib,hunt_animals,gath_contrib,gath_foods,food_stor,gath_depend,hunt_depend,fish_depend,herd_depend,ag_depend,cultiv_intens,maj_crop,plow,herd_type,milking,subs_econ,ag_importance,herd_importance,fish_importance,hunt_importance,gath_importance,trade_importance,econ_dom,econ_subsid,subsis_ecolo,resouce_base,ag_staple1,ag_stape2,plow2,crop_index
Nama Hottentot,1,4,1,5,7,1,NA,4,3,3,1,1,1,3,1,5,0,1,1,1,7,2,4,0,35,0,30,30,5,4,0,6,11,0,0,0,0
Kung Bushmen,2,2,1,1,NA,1,NA,4,3,5,6,1,8,2,0,0,0,1,1,1,1,1,1,0,0,0,25,75,0,7,8,1,2,0,0,0,0
Thonga,3,4,6,3,3,2,2,3,3,2,5,2,0,1,1,3,5,3,6,1,7,2,6,75,5,5,5,5,5,3,4,8,10,14,1,1,1
Lozi,4,4,5,4,7,3,2,3,4,2,5,2,1,2,1,2,4,5,6,1,7,2,7,35,25,25,5,5,5,1,4,11,8,15,1,1,4
Mbundu,5,NA,6,4,7,2,2,3,2,2,1,2,1,1,1,2,5,3,6,1,7,1,6,60,25,5,5,5,0,3,0,8,10,14,1,1,4
Suku,6,4,6,3,1,2,2,3,4,3,6,2,1,2,1,0,6,3,5,1,3,1,6,55,5,5,5,25,5,3,0,8,10,24,1,1,1
Bemba,7,1,5,3,1,3,2,4,3,3,6,2,1,1,1,0,7,3,6,1,3,1,6,35,5,20,20,20,0,3,0,8,10,13,1,1,1
Nyakyusa,8,2,6,4,7,2,2,3,1,2,5,1,0,1,1,2,6,5,4,1,7,2,7,60,25,5,5,5,0,1,4,11,8,13,31,1,4
Hadza,9,2,1,2,1,1,NA,4,3,5,6,1,6,4,0,0,0,1,1,1,1,1,1,0,0,0,25,75,0,8,7,1,2,0,0,0,0
Luguru,10,4,6,3,3,2,2,3,2,2,1,2,0,1,1,1,7,3,6,1,3,1,6,75,5,5,5,5,5,3,0,8,10,14,15,1,NA
Kikuyu,11,4,6,4,7,1,NA,3,2,NA,NA,2,0,0,0,3,7,5,6,1,7,2,7,65,25,0,5,0,5,1,4,6,11,14,1,1,NA
Ganda,12,4,6,4,3,3,2,4,3,2,6,1,0,1,1,1,7,5,4,1,7,2,7,60,10,10,10,5,5,2,0,9,7,31,1,1,4
Mbuti,13,4,1,2,1,2,4,4,4,4,6,1,3,7,0,0,0,1,1,1,1,1,3,0,0,5,40,50,5,7,8,1,2,0,0,0,0
Nkundo Mongo,14,4,6,3,1,2,2,3,2,2,6,1,1,1,2,0,6,3,5,1,3,1,6,75,5,5,5,5,5,3,0,8,10,24,1,1,1
Banen,15,3,6,3,1,2,2,3,4,2,2,2,1,1,0,1,7,3,5,1,3,1,6,99,0,0,0,0,0,3,0,8,10,21,1,1,4
Tiv,16,5,6,3,1,2,2,3,3,2,5,2,1,2,1,1,5,3,5,1,3,1,6,55,5,5,5,5,25,3,0,8,10,21,1,1,3
Ibo,17,5,6,3,7,2,2,1,NA,2,6,2,0,0,0,1,9,3,5,1,7,1,6,60,5,5,0,5,25,3,0,8,10,21,24,1,2
Fon,18,5,5,4,2,1,NA,4,3,2,5,2,0,2,1,2,5,3,5,1,3,1,6,35,20,0,20,5,20,3,0,8,10,13,14,1,5
Ashanti,19,4,6,4,3,2,2,4,2,2,5,2,0,1,2,0,7,3,5,1,3,1,6,55,15,5,15,5,5,3,0,8,10,21,1,1,2
Mende,20,5,6,3,3,2,2,3,2,2,5,2,1,0,1,1,7,3,6,1,3,1,6,55,5,5,5,5,25,3,0,8,10,16,1,1,2
Wolof,21,5,6,3,7,2,2,3,3,2,5,2,0,0,1,3,6,3,6,1,7,2,6,55,5,5,5,5,25,3,4,8,10,15,1,1,3
Bambara,22,4,6,5,7,2,2,3,3,2,5,2,2,0,1,2,5,5,6,1,7,2,7,55,25,5,5,5,5,1,0,11,8,13,1,1,2
Tallensi,23,5,6,3,1,2,2,3,2,2,5,3,1,0,0,2,7,5,6,1,7,2,7,55,5,5,5,5,25,1,0,11,8,13,15,1,4
