socname,socID,latitude,longitud,NPP,NPP_3x3av,NPP_3x3max,altitude,temperature,min_precip,max_precip,precip,num_dry_mon,num_wet_mon,region,niche_temp,niche_precip,num_niches,climate_type,num_habitats,ocean
Nama Hottentot,1,-27.5,17,0.264706,0.264706,0.294118,1004,21,0,34,133,12,0,1,1,7,1,2,4,0
Kung Bushmen,2,-19.833,20.58,0.147059,0.182353,0.323529,1131,21,0,95,470,7,0,1,1,7,1,2,2,0
Thonga,3,-25.833,32.333,1.176471,1.141176,1.294118,25,24,17,129,570,7,0,1,1,2,1,5,4,1
Lozi,4,-16,23.5,0.235294,0.241176,0.294118,1055,23,0,210,954,6,0,1,1,2,1,5,1,0
Mbundu,5,-12.25,16.5,0.617647,0.635294,0.676471,1650,18,0,235,1354,4,0,1,1,2,1,5,5,0
Suku,6,-6,18,-0.529412,-0.541176,-0.470588,NA,NA,NA,NA,NA,NA,NA,1,1,2,1,5,1,0
Bemba,7,-10.5,30.5,0.529412,0.529412,0.558824,1386,21,0,275,1310,6,0,1,1,2,1,5,2,0
Nyakyusa,8,-9.5,34,1.441176,1.058823,1.794118,1736,18,3,190,884,6,0,1,1,2,1,5,5,0
Hadza,9,-3.75,35.18,0.558824,0.505882,0.647059,1149,23,42,200,1214,0,0,1,1,2,1,5,3,0
Luguru,10,-6.833,37.667,0.941176,1.076471,1.676471,14,26,28,300,1110,4,0,1,1,2,1,5,4,1
Kikuyu,11,-0.667,37.167,1.411765,1.335294,1.911765,1798,17,29,190,899,1,0,1,1,2,1,5,3,0
Ganda,12,0.333,32.5,1.441176,1.723529,2.382353,1553,20,55,145,1201,0,0,1,1,2,1,5,5,0
Mbuti,13,1.5,28.333,1.617647,1.564706,1.970588,955,23,13,250,1293,1,0,1,1,1,1,3,2,0
Nkundo Mongo,14,-0.75,19.167,-0.794118,-0.864706,-0.529412,370,25,80,390,2440,0,0,1,1,1,1,3,2,0
Banen,15,4.667,10.8,0.941176,1.058824,1.411765,1224,21,2,360,2172,3,0,1,1,1,1,3,3,1
Tiv,16,7.25,9,0.529412,0.488235,0.529412,111,27,0,250,1377,5,0,1,1,2,2,5,3,0
Ibo,17,5.5,7.333,1,0.917647,1,233,27,15,310,1231,4,0,1,1,1,1,3,2,1
Fon,18,7.2,1.91,0.911765,0.9,1.117647,4,26,9,224,859,6,0,1,1,5,2,5,4,1
Ashanti,19,7,-1.5,1.264706,1.241176,1.705882,287,26,19,215,1481,2,0,1,1,5,2,5,3,1
Mende,20,7.833,-12,1.852941,2.147059,2.5,387,26,12,400,2354,3,0,1,1,1,2,3,3,1
Wolof,21,13.75,-15.333,0.823529,0.770588,0.852941,30,24,1,250,516,8,0,2,1,2,2,5,3,1
Bambara,22,12.5,-7,0.911765,0.864706,0.911765,335,28,0,310,1053,6,0,1,1,2,2,5,2,0
Tallensi,23,10.66,-0.567,0.852941,0.8,0.852941,NA,NA,NA,NA,NA,NA,NA,1,1,2,2,5,1,0
Songhai,24,16.583,-1.667,-0.441177,-0.441177,-0.294118,250,29,0,98,285,10,0,2,1,7,3,2,3,0
Pastoral Fulani,25,15,7.5,-0.117647,-0.076471,0,415,26,0,250,770,7,0,2,1,5,2,5,3,0
Hausa,26,10.5,7.5,0.911765,0.929412,1.029412,644,25,0,290,1297,5,0,2,1,5,2,5,2,0
Massa (Masa),27,10.5,15.5,1.058824,1.135294,1.294118,401,29,0,250,850,7,0,1,1,5,2,5,2,0
Azande,28,5.083,28.25,0,-0.041176,0.088235,715,25,9,210,1467,4,0,1,1,2,2,5,2,0
Fur (Darfur),29,13.5,25.5,0,-0.005882,0.029412,500,27,0,190,817,6,0,2,1,7,3,6,3,0
Otoro Nuba,30,11.333,30.667,1.382353,1.358824,1.441176,503,27,0,140,743,6,0,1,1,5,2,5,1,0
Shilluk,31,9.75,31.5,1.235294,1.176471,1.264706,390,27,0,175,817,6,0,1,1,5,2,5,1,0
Mao,32,9.267,34.667,2.529412,2.494118,2.941176,401,27,4,230,1241,5,0,1,1,5,2,5,3,0
Kaffa (Kafa),33,7.267,36.5,1.5,1.758824,3.176471,410,27,8,240,1241,5,0,2,2,5,2,6,5,0
Masai,34,-3.5,36.75,0.352941,0.429412,0.617647,1890,17,15,125,677,4,0,1,2,5,1,5,4,0
Konso,35,5.25,37.5,1.117647,1.094118,1.676471,410,27,8,240,1241,5,0,2,2,5,2,6,3,0
Somali,36,9,47.25,0.088235,0.088235,0.088235,1010,24,0,40,119,12,0,2,1,7,2,2,3,0
Amhara,37,12.5,37.75,1.882353,1.764706,2,762,26,0,230,894,7,0,2,2,5,2,6,5,0
Bogo,38,15.75,38.75,0.5,0.517647,0.823529,1426,21,0,145,474,8,0,2,2,5,2,2,5,1
Kenuzi Nubians,39,23,38.75,0,0,0,111,26,0,3,3,12,0,2,1,7,3,2,1,0
Teda,40,20.5,17.5,0,0,0,234,29,0,9,14,12,0,2,1,7,3,2,2,0
Tuareg,41,23,6.5,0,0,0,1463,21,2,13,45,12,0,2,1,7,3,2,3,0
Riffians,42,34.917,-3.25,0.088235,0.1,0.147059,39,18,3,70,389,6,0,2,1,5,3,2,3,1
Egyptians,43,24.75,33,0,-0.4,0,78,24,0,1,1,12,0,2,1,7,3,2,3,1
Hebrews,44,31.18,34.917,0,0.029412,0.147059,360,20,0,130,551,7,0,2,1,7,3,2,1,0
Babylonians,45,32.583,44.75,-0.558824,-0.688235,-0.5,20,23,0,20,107,11,0,2,1,5,4,2,2,0
